model:HSVNet step: 3250, loss: 0.135810, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:23.32
model:HSVNet step: 3300, loss: 0.112814, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:23.60
model:HSVNet step: 3350, loss: 0.128702, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:23.89
model:HSVNet step: 3400, loss: 0.110612, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:24.18
model:HSVNet step: 3450, loss: 0.171095, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:24.46
model:HSVNet step: 3500, loss: 0.110831, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:24.75
model:HSVNet step: 3550, loss: 0.108965, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:25.04
model:HSVNet step: 3600, loss: 0.141411, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:25.33
model:HSVNet step: 3650, loss: 0.126654, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:25.61
model:HSVNet step: 3700, loss: 0.168743, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:25.90
model:HSVNet step: 3750, loss: 0.135787, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:26.19
model:HSVNet step: 3800, loss: 0.148258, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:26.48
model:HSVNet step: 3850, loss: 0.160107, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:26.76
model:HSVNet step: 3900, loss: 0.196708, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:27.05
model:HSVNet step: 3950, loss: 0.117850, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:27.34
model:HSVNet step: 4000, loss: 0.166150, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:27.62
model:HSVNet step: 4050, loss: 0.170125, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:27.91
model:HSVNet step: 4100, loss: 0.167996, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:28.19
model:HSVNet step: 4150, loss: 0.158394, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:28.48
model:HSVNet step: 4200, loss: 0.123210, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:28.77
model:HSVNet step: 4250, loss: 0.109026, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:29.06
model:HSVNet step: 4300, loss: 0.090373, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:29.35
model:HSVNet step: 4350, loss: 0.101041, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:29.64
model:HSVNet step: 4400, loss: 0.113583, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:29.92
model:HSVNet step: 4450, loss: 0.159180, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:30.21
model:HSVNet step: 4500, loss: 0.193845, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:30.50
model:HSVNet step: 4550, loss: 0.106974, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:32.85
model:HSVNet step: 4600, loss: 0.110280, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:33.14
model:HSVNet step: 4650, loss: 0.139560, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:33.43
model:HSVNet step: 4700, loss: 0.132077, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:33.72
model:HSVNet step: 4750, loss: 0.095820, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:34.00
model:HSVNet step: 4800, loss: 0.093464, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:34.29
model:HSVNet step: 4850, loss: 0.178115, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:34.58
model:HSVNet step: 4900, loss: 0.139180, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:34.87
model:HSVNet step: 4950, loss: 0.103936, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:35.15
model:HSVNet step: 5000, loss: 0.224071, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:35.44
model:HSVNet step: 5050, loss: 0.135396, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:35.72
model:HSVNet step: 5100, loss: 0.103762, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:36.01
model:HSVNet step: 5150, loss: 0.121742, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:36.30
model:HSVNet step: 5200, loss: 0.126934, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:36.58
model:HSVNet step: 5250, loss: 0.105296, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:36.87
model:HSVNet step: 5300, loss: 0.128561, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:37.16
model:HSVNet step: 5350, loss: 0.118234, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:37.45
model:HSVNet step: 5400, loss: 0.144330, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:37.74
model:HSVNet step: 5450, loss: 0.168477, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:38.03
model:HSVNet step: 5500, loss: 0.118727, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:38.31
model:HSVNet step: 5550, loss: 0.084888, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:38.60
model:HSVNet step: 5600, loss: 0.088564, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:38.89
model:HSVNet step: 5650, loss: 0.176100, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:39.17
model:HSVNet step: 5700, loss: 0.182510, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:39.46
model:HSVNet step: 5750, loss: 0.146863, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:39.74
model:HSVNet step: 5800, loss: 0.101209, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:40.03
model:HSVNet step: 5850, loss: 0.145882, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:40.31
model:HSVNet step: 5900, loss: 0.179502, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:40.60
model:HSVNet step: 5950, loss: 0.121558, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:40.89
model:HSVNet step: 6000, loss: 0.126467, psnr: 19.1129364545241, ssim: 0.7036529743671417, minute:41.18
model:HSVNet step: 6050, loss: 0.131211, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:43.53
model:HSVNet step: 6100, loss: 0.153925, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:43.82
model:HSVNet step: 6150, loss: 0.102183, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:44.10
model:HSVNet step: 6200, loss: 0.125526, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:44.39
model:HSVNet step: 6250, loss: 0.107590, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:44.68
model:HSVNet step: 6300, loss: 0.143406, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:44.97
model:HSVNet step: 6350, loss: 0.158583, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:45.25
model:HSVNet step: 6400, loss: 0.156329, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:45.54
model:HSVNet step: 6450, loss: 0.103142, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:45.83
model:HSVNet step: 6500, loss: 0.148267, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:46.12
model:HSVNet step: 6550, loss: 0.137399, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:46.40
model:HSVNet step: 6600, loss: 0.123657, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:46.69
model:HSVNet step: 6650, loss: 0.137117, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:46.98
model:HSVNet step: 6700, loss: 0.123608, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:47.26
model:HSVNet step: 6750, loss: 0.132485, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:47.55
model:HSVNet step: 6800, loss: 0.087439, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:47.83
model:HSVNet step: 6850, loss: 0.119768, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:48.12
model:HSVNet step: 6900, loss: 0.250408, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:48.40
model:HSVNet step: 6950, loss: 0.157246, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:48.69
model:HSVNet step: 7000, loss: 0.118182, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:48.98
model:HSVNet step: 7050, loss: 0.121429, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:49.27
model:HSVNet step: 7100, loss: 0.135171, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:49.56
model:HSVNet step: 7150, loss: 0.105966, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:49.84
model:HSVNet step: 7200, loss: 0.104334, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:50.13
model:HSVNet step: 7250, loss: 0.223134, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:50.42
model:HSVNet step: 7300, loss: 0.135332, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:50.71
model:HSVNet step: 7350, loss: 0.127770, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:51.00
model:HSVNet step: 7400, loss: 0.109991, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:51.29
model:HSVNet step: 7450, loss: 0.110948, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:51.57
model:HSVNet step: 7500, loss: 0.103659, psnr: 19.33217347236879, ssim: 0.7826937305927276, minute:51.86
model:HSVNet step: 7550, loss: 0.173332, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:54.28
model:HSVNet step: 7600, loss: 0.103977, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:54.57
model:HSVNet step: 7650, loss: 0.103412, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:54.87
model:HSVNet step: 7700, loss: 0.145684, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:55.16
model:HSVNet step: 7750, loss: 0.104221, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:55.45
model:HSVNet step: 7800, loss: 0.149241, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:55.74
model:HSVNet step: 7850, loss: 0.121855, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:56.02
model:HSVNet step: 7900, loss: 0.155915, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:56.31
model:HSVNet step: 7950, loss: 0.110925, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:56.59
model:HSVNet step: 8000, loss: 0.108888, psnr: 20.24296422396471, ssim: 0.8115891078710556, minute:56.88
