model:HSVNet step: 50, loss: 0.236852, psnr: 0, ssim: 0, minute:0.41
model:HSVNet step: 100, loss: 0.346689, psnr: 0, ssim: 0, minute:0.70
model:HSVNet step: 150, loss: 0.326149, psnr: 0, ssim: 0, minute:1.00
model:HSVNet step: 200, loss: 0.172639, psnr: 0, ssim: 0, minute:1.29
model:HSVNet step: 250, loss: 0.194990, psnr: 0, ssim: 0, minute:1.59
model:HSVNet step: 300, loss: 0.299062, psnr: 0, ssim: 0, minute:1.88
model:HSVNet step: 350, loss: 0.246345, psnr: 0, ssim: 0, minute:2.18
model:HSVNet step: 400, loss: 0.185466, psnr: 0, ssim: 0, minute:2.47
model:HSVNet step: 450, loss: 0.214187, psnr: 0, ssim: 0, minute:2.77
model:HSVNet step: 500, loss: 0.200948, psnr: 0, ssim: 0, minute:3.07
model:HSVNet step: 550, loss: 0.234680, psnr: 0, ssim: 0, minute:3.36
model:HSVNet step: 600, loss: 0.175212, psnr: 0, ssim: 0, minute:3.66
model:HSVNet step: 650, loss: 0.219590, psnr: 0, ssim: 0, minute:3.96
model:HSVNet step: 700, loss: 0.228901, psnr: 0, ssim: 0, minute:4.25
model:HSVNet step: 750, loss: 0.184102, psnr: 0, ssim: 0, minute:4.55
model:HSVNet step: 800, loss: 0.199611, psnr: 0, ssim: 0, minute:4.85
model:HSVNet step: 850, loss: 0.215023, psnr: 0, ssim: 0, minute:5.14
model:HSVNet step: 900, loss: 0.199965, psnr: 0, ssim: 0, minute:5.44
model:HSVNet step: 950, loss: 0.137981, psnr: 0, ssim: 0, minute:5.73
model:HSVNet step: 1000, loss: 0.197342, psnr: 0, ssim: 0, minute:6.03
model:HSVNet step: 1050, loss: 0.272375, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:6.90
model:HSVNet step: 1100, loss: 0.167641, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:7.19
model:HSVNet step: 1150, loss: 0.257731, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:7.49
model:HSVNet step: 1200, loss: 0.147881, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:7.79
model:HSVNet step: 1250, loss: 0.214907, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:8.08
model:HSVNet step: 1300, loss: 0.119223, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:8.38
model:HSVNet step: 1350, loss: 0.133545, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:8.68
model:HSVNet step: 1400, loss: 0.243244, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:8.97
model:HSVNet step: 1450, loss: 0.264044, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:9.27
model:HSVNet step: 1500, loss: 0.188496, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:9.57
model:HSVNet step: 1550, loss: 0.295958, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:9.87
model:HSVNet step: 1600, loss: 0.131059, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:10.16
model:HSVNet step: 1650, loss: 0.139647, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:10.46
model:HSVNet step: 1700, loss: 0.187061, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:10.76
model:HSVNet step: 1750, loss: 0.237483, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:11.06
model:HSVNet step: 1800, loss: 0.169848, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:11.35
model:HSVNet step: 1850, loss: 0.127082, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:11.65
model:HSVNet step: 1900, loss: 0.190532, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:11.95
model:HSVNet step: 1950, loss: 0.208271, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:12.24
model:HSVNet step: 2000, loss: 0.200845, psnr: 16.601911448877356, ssim: 0.678720104932785, minute:12.54
model:HSVNet step: 2050, loss: 0.153624, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:13.41
model:HSVNet step: 2100, loss: 0.118891, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:13.70
model:HSVNet step: 2150, loss: 0.168844, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:14.00
model:HSVNet step: 2200, loss: 0.216448, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:14.30
model:HSVNet step: 2250, loss: 0.228015, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:14.60
model:HSVNet step: 2300, loss: 0.196851, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:14.89
model:HSVNet step: 2350, loss: 0.179230, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:15.19
model:HSVNet step: 2400, loss: 0.199217, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:15.49
model:HSVNet step: 2450, loss: 0.190376, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:15.78
model:HSVNet step: 2500, loss: 0.162914, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:16.08
model:HSVNet step: 2550, loss: 0.258685, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:16.37
model:HSVNet step: 2600, loss: 0.227610, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:16.67
model:HSVNet step: 2650, loss: 0.181018, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:16.97
model:HSVNet step: 2700, loss: 0.163227, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:17.27
model:HSVNet step: 2750, loss: 0.259139, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:17.57
model:HSVNet step: 2800, loss: 0.152364, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:17.86
model:HSVNet step: 2850, loss: 0.179943, psnr: 20.02033550157154, ssim: 0.753547567486763, minute:18.16
