model:HSVNet step: 50, loss: 0.088175, psnr: 0, ssim: 0, minute:0.26
model:HSVNet step: 2250, loss: 0.077527, psnr: 17.82048471047335, ssim: 0.33899323344230653, minute:6.12
model:HSVNet step: 2300, loss: 0.111612, psnr: 17.82048471047335, ssim: 0.33899323344230653, minute:6.25
model:HSVNet step: 2350, loss: 0.101249, psnr: 17.82048471047335, ssim: 0.33899323344230653, minute:6.38
model:HSVNet step: 2400, loss: 0.091273, psnr: 17.82048471047335, ssim: 0.33899323344230653, minute:6.51
model:HSVNet step: 2450, loss: 0.083069, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:6.65
model:HSVNet step: 2500, loss: 0.094584, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:6.78
model:HSVNet step: 2550, loss: 0.091792, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:6.90
model:HSVNet step: 2600, loss: 0.097715, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:7.03
model:HSVNet step: 2650, loss: 0.130437, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:7.17
model:HSVNet step: 2700, loss: 0.091724, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:7.30
model:HSVNet step: 2750, loss: 0.093695, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:7.42
model:HSVNet step: 2800, loss: 0.080972, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:7.55
model:HSVNet step: 2850, loss: 0.095777, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:7.69
model:HSVNet step: 2900, loss: 0.063531, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:7.82
model:HSVNet step: 2950, loss: 0.210220, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:7.95
model:HSVNet step: 3000, loss: 0.108957, psnr: 17.826759083759036, ssim: 0.3530817896127701, minute:8.08
model:HSVNet step: 3050, loss: 0.067508, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:8.22
model:HSVNet step: 3100, loss: 0.101599, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:8.35
model:HSVNet step: 3150, loss: 0.073532, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:8.48
model:HSVNet step: 3200, loss: 0.088226, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:8.60
model:HSVNet step: 3250, loss: 0.072467, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:8.74
model:HSVNet step: 3300, loss: 0.071737, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:8.87
model:HSVNet step: 3350, loss: 0.084525, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:9.00
model:HSVNet step: 3400, loss: 0.111128, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:9.12
model:HSVNet step: 3450, loss: 0.075030, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:9.26
model:HSVNet step: 3500, loss: 0.098303, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:9.39
model:HSVNet step: 3550, loss: 0.234357, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:9.52
model:HSVNet step: 3600, loss: 0.094746, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:9.65
model:HSVNet step: 3650, loss: 0.123933, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:9.79
model:HSVNet step: 3700, loss: 0.106262, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:9.91
model:HSVNet step: 3750, loss: 0.085340, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:10.04
model:HSVNet step: 3800, loss: 0.103916, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:10.17
model:HSVNet step: 3850, loss: 0.092777, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:10.31
model:HSVNet step: 3900, loss: 0.098091, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:10.43
model:HSVNet step: 3950, loss: 0.089148, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:10.56
model:HSVNet step: 4000, loss: 0.120199, psnr: 18.17887407339272, ssim: 0.3569614291191101, minute:10.69
model:HSVNet step: 4050, loss: 0.081158, psnr: 18.66669584003534, ssim: 0.36006584465503694, minute:10.83
